L438P_1	L438P_2	Control_1	Control_2	Control_3	Control_4	Control_5	Control_6
ENSG00000136699	2057.853	2532.681	2584.55	2815.125	2291.495	2484.243	4297.81	2400.618
ENSG00000136709	2339.595	2821.839	3053.487	2991.954	2018.145	1952.109	3163.003	2601.243
ENSG00000136710	700	737.923	876.474	774.001	691.649	838.832	661.717	833.719
ENSG00000136715	760.417	932	1068	1321.948	705.197	720.11	1202.417	894.475
ENSG00000136717	994	1347	1970.936	2049.839	783.347	750.007	329.028	934.999
ENSG00000136718	1452	2076.615	2015.288	1797.156	1606.535	2003.105	2835.365	1824.146
ENSG00000136720	157.769	265	306.689	384.262	258.273	315.888	493.463	382.092
ENSG00000136731	3760.674	3769.729	4046.221	4585.258	2927.137	2472.369	3954.06	3098.478
ENSG00000136732	1603.001	2452.14	2215.047	1885.999	1798.606	2187.131	1542.475	1207.814
ENSG00000136738	594.48	689.991	672	693.362	391.002	360.109	654.04	561.162
ENSG00000136750	0	0	0	1	1	0	0	0
ENSG00000136754	1931.023	2741.793	2600.357	2770.791	1717.305	2433.517	2425.437	2282.702
ENSG00000136758	5058.629	5182.042	5808.916	6191.236	3687.229	3433.505	5229.454	4306.625
ENSG00000136770	769.729	761	913.673	1233.274	247	662	650.129	644
ENSG00000136783	325	410.954	659.711	457.055	479.922	582.871	520.926	377.146
ENSG00000136802	338	503.096	535.718	562.001	503.634	306.419	660	449.978
ENSG00000136807	1276	1648.539	1677.303	1659.389	1637.505	1459.346	1836.244	1545.999
ENSG00000136810	3035.809	3867.954	4842.709	4766.869	3570.195	3432.875	6503.761	3851.549
ENSG00000136811	1687.429	1647.228	2214.429	2235.896	1512.578	1838.941	2730.514	2215.001
ENSG00000136813	5629.907	4774.84	4906.287	6489.114	4339.876	4041.933	4692.552	4190.209
ENSG00000136816	483.034	434	475	559.028	355	399	440	454.001
ENSG00000136819	576.805	848.257	1157.908	1078.051	839.165	759.17	1198.001	853.169
ENSG00000136824	2203.158	2335.669	2695.345	3576.579	1898.381	1464.119	4928.741	2515.324
ENSG00000136826	12	10	13	21.999	7	2	33.004	5
ENSG00000136827	839.017	922	1214.104	1089.999	978.511	751.11	1143.574	1027.001
ENSG00000136828	158.594	106.483	134.45	159.308	171.789	219.436	149.84	196.628
ENSG00000136830	14.005	29	133	33	15	16	60	37
ENSG00000136834	1	0	2	2	0	9	0	1
ENSG00000136839	0	0	0	0	0	0	0	0
ENSG00000136840	1349.677	960.398	1184.735	1600.858	854.564	1118.551	1023.222	808.387
ENSG00000136842	2069.448	609.453	449.101	1450.173	554.052	1841.198	1015.005	773.045
ENSG00000136848	12	28	379.003	14	5	9	32.001	28
ENSG00000136854	14.097	17	53.181	38	60.001	335.576	50.525	27
ENSG00000136856	185.999	151	253	246.999	154	198	233	185.999
ENSG00000136859	20	25	41	10	20	85	15	19.004
ENSG00000136861	2015.001	2339.754	2581.441	2711	1673.002	2174.216	2780.148	2073.28
ENSG00000136866	25	21	53	155.999	138	102	125	14
ENSG00000136867	7.837	10.74	16.159	26.885	4.859	5.057	5.889	8.141
ENSG00000136868	1641.052	1560.632	1570.454	2027.427	491.08	815.84	1761.49	1047.639
ENSG00000136869	4	16	81	29	4	1	4	9
ENSG00000136870	480.368	828.416	680	797	266.001	517	584	794
ENSG00000136872	3	59	3	13	3	4	11	8
ENSG00000136874	1485.038	1479	1691.001	1663.274	925.358	1253.226	1263.32	1294.014
ENSG00000136875	1123.81	1330.057	1437.647	1496.82	853.51	912.826	1760.205	1224.779
ENSG00000136877	1132	1465.066	1595.001	1408.363	1649.005	1414	1653.35	1315.088
ENSG00000136878	698.999	782.353	823.002	724	591.998	785.053	687.011	731.025
ENSG00000136881	0	0	0	1	1	0	0	0
ENSG00000136883	0	0	0	1	0	0	0	0
ENSG00000136888	937	1186	1336.652	1131	889	957	993.924	936.293
ENSG00000136891	1168.001	1528.964	1507	1553.388	1037.805	1303.402	1962.255	1371.19
ENSG00000136895	249.894	195.056	123.061	281.068	188.001	289.897	240.044	62.016
ENSG00000136897	604	824.643	891.999	810	554	603	945.764	763.999
ENSG00000136908	683.999	820.001	874.999	928	651.007	756.001	952.966	701
ENSG00000136918	0	2	1	0	2	4	0	1
ENSG00000136925	582.85	654.551	792.65	837.829	631.206	560.803	811.002	730.183
ENSG00000136928	1	4	2	9.001	9	7	15	6
ENSG00000136929	0	1	0	1	0	0	1	0
ENSG00000136930	2175.065	2563.25	2819.668	2648.792	1990.725	2182.824	2838.978	2434.431
ENSG00000136931	7	10	8	9	7	3	1	0
ENSG00000136932	218.001	285.001	344	366.999	265	295	320	253.002
ENSG00000136933	390	502.014	543	498.14	437	385.31	727.324	455.999
ENSG00000136935	1150.66	1224.699	1031.999	1596.254	721.927	1226.24	999.155	1150
ENSG00000136936	293.13	372.001	365	427	361	343	411.001	324.999
ENSG00000136937	1589.786	1933.009	2083.966	2280.208	1687.376	1408.357	3099.044	2048.522
ENSG00000136938	5770.152	6918.313	8187.61	8294.165	5464.802	7236.582	9425.155	6336.819
ENSG00000136939	1	1	0	0	0	0	0	1
ENSG00000136940	544	623	757.502	668.062	472	443.023	807	631
ENSG00000136942	10271.485	13260.737	12994.134	14623.528	19404.509	16825.882	17176.232	14322.608
ENSG00000136943	5	9.083	5	5	3	7	15.037	11
ENSG00000136944	1.054	3.072	12.027	6.012	4.098	15.26	2.033	3.005
ENSG00000136950	1854	1811.385	2411.521	2689.541	2647.016	1902.41	3100.836	1913.002
ENSG00000136960	174	207.017	430.008	167.001	54.001	52	177	206.001
ENSG00000136982	198.527	279	292.056	389	219	224	700.97	333.836
ENSG00000136986	2275.806	2145.432	2246.801	2650.997	1263.204	1611.388	2050.602	1647.962
ENSG00000136997	2959.553	4253.27	4103.574	3199.286	2057.001	3605.999	4329.51	2450.277
ENSG00000136999	1	3	8	2	2	4	2	12
ENSG00000137033	0	0	0	0	0	0	0	0
ENSG00000137038	399	634	733.969	568.191	641	671.084	786	618
ENSG00000137040	1141.642	1152	1279.999	1225	892	954	1236.141	1129.999
ENSG00000137054	936	1095.108	949	1002.958	1019.469	1063	1501.476	897.601
ENSG00000137055	952.159	1327.029	1532	1364	980	807	1532.377	1252.506
ENSG00000137070	194.475	229.604	286.604	282.108	449.791	362.212	169.662	167.053
ENSG00000137073	1901.392	2106.802	2475.519	2116.11	1645.232	1710.406	2523.736	2003.41
ENSG00000137074	646.511	836.493	1006.344	950.952	625	770.614	1204.997	980.188
ENSG00000137075	1443.113	1561.999	1627.001	1615.305	965.999	1160.001	1631.69	1338.01
ENSG00000137076	15585.74	14448.932	15174.881	14407.369	11452.66	8857.344	14433.452	11274.821
ENSG00000137077	0	0	0	0	0	0	0	0
ENSG00000137078	1106.084	2367.826	1353.318	1901.041	1611.747	824	888.83	1314
ENSG00000137080	0	0	0	0	0	0	0	0
ENSG00000137090	17	6	10	0	9	4	3	2
ENSG00000137094	487.421	388.006	324	471.442	372	355	389.047	391
ENSG00000137098	27.714	30.066	19.653	38.211	30.488	45.874	25.653	27.771
ENSG00000137100	692.598	805.001	824.263	945.001	643.808	785.901	753.193	724.304
ENSG00000137101	361.081	539.894	645.674	423	321.6	320.705	139.999	170.999
ENSG00000137103	388.821	328.626	319.254	385.471	439.93	469.205	304.194	392.953
ENSG00000137106	2131.015	2449.383	3293.229	2637.006	2889.3	2048.395	3042.069	2140.177
ENSG00000137124	644	959.147	935.055	923.217	982	900.754	1378.264	1118.845
ENSG00000137133	350.417	429.356	471.448	489.689	345.195	410.837	551.166	411.297
ENSG00000137135	362.746	537.913	565.625	649.127	375.927	468.92	765.779	588.761
ENSG00000137142	1	22	28	3	3	3	6	8
ENSG00000137145	2759	2475.29	2440.158	2420.137	1228.269	1816	1897.999	1717.229
ENSG00000137154	47656.246	56751.413	56341.098	63640.051	81221.284	82002.566	76947.088	61440.163
ENSG00000137161	1638.925	2517.422	2532.39	2338.32	2272	2462.692	2393.853	1818.019
ENSG00000137166	1241.727	1068.825	1142.176	1536.205	946.114	1694.438	1263.627	1313.136
ENSG00000137168	689.695	979	1040.613	990	894	548	1177.447	1012.42
ENSG00000137171	510.765	526.563	478.568	626.245	379.347	579.437	314.329	411.865
ENSG00000137177	21	82	68.999	81	81	48.001	106	42
ENSG00000137185	318	404.998	467.001	422.808	376.001	411.001	330	375.099
ENSG00000137193	672.967	842.348	351	661	356	1198	664.25	400.329
ENSG00000137197	0	0	0	0	0	0	0	0
ENSG00000137198	52	334.12	849.01	146	12	20	52	103
ENSG00000137200	4595.482	4120.09	4754.711	4244.539	3334.283	3771	3630.309	3994.405
ENSG00000137203	107.999	24.001	15.001	34	12	49	55.049	17
ENSG00000137204	9.999	10	13.938	18	5	5.999	9	13
ENSG00000137207	1129.974	1235.553	1428.626	1449.006	944.002	1042.999	1114.925	1125.758
ENSG00000137210	978.999	1062.975	1230.057	1266.885	1216.006	987.201	1482.559	1124.08
ENSG00000137216	739.001	700.166	689.132	853.272	512.33	558.001	502.004	709.031
ENSG00000137218	74	74	84.006	105.375	74.156	114	86.017	89.011
ENSG00000137221	830.301	914.772	1037.512	1149.049	511.893	820.693	864.383	941.066
ENSG00000137225	8	12	17	33	22	9	5	21
ENSG00000137251	25	132	384	82.103	0	2	20	77
ENSG00000137252	0	0	0	0	0	0	0	0
ENSG00000137261	1.002	2	3	4	3	3	6	4
ENSG00000137265	24104.751	24248.614	25627.278	31551.721	27908.238	20608.747	33171.754	25300.917
ENSG00000137266	88	96.001	89.013	129	101.001	281.919	77	126
ENSG00000137267	386.419	522.286	375.57	477.349	381.567	423.083	307.376	393.741
ENSG00000137269	71.001	328	321.455	122	0	13	62.012	206
ENSG00000137270	0	0	0	3	1	1	0	1
ENSG00000137273	1	1	4	2	0	0	0	0
ENSG00000137274	179.534	207.004	208.645	200.001	275	320.001	182.003	261.001
ENSG00000137275	448	419.815	488.04	483	335	386	404.061	345
ENSG00000137285	920.086	1218.308	341.263	535.03	202.939	1037.756	116.281	337.303
ENSG00000137288	347.192	546.882	524.346	565.336	442.323	665.989	890.009	596.257
ENSG00000137309	6252.047	10502.327	10817.796	11587.48	10287.114	11174.877	23174.066	9622.867
ENSG00000137310	1.755	23.854	95.868	2981.791	1.703	850.449	35.335	2018.512
ENSG00000137312	301.755	1958.897	1754.119	1524.741	1490.213	1289.22	0	2117.47
ENSG00000137313	0	195.938	0	134.961	63.85	658.532	397.736	251.941
ENSG00000137321	0	0	0	0	0	0	0	0
ENSG00000137331	5.789	747.519	0	883.12	0	0	7.331	683.412
ENSG00000137332	485.826	272.372	15.105	24.45	19.405	151.765	68.36	11.652
ENSG00000137337	2162.723	1972.738	2556.931	2315.412	1405.942	1859.474	2805.538	2100.671
ENSG00000137338	106	163	188	164	130	117	177	119
ENSG00000137343	0	0	0	0	0	0	0	0
ENSG00000137345	0	0	0	0	0	0	0	0
ENSG00000137364	397.748	620.457	778.689	640.97	382.401	495.545	663.986	669.911
ENSG00000137384	0	1.151	0	1.148	6	0	0	0
ENSG00000137392	0	0	0	0	0	0	0	0
ENSG00000137393	3	3	9	6	1	1	2	6
ENSG00000137394	0	0	0	0	0	0	0	0
ENSG00000137397	0	14.605	0	15.871	0	0	0	0
ENSG00000137403	287.231	513.402	21.635	269.284	354.63	922.23	518.958	0
ENSG00000137409	2311.978	2609.337	2737.476	2690.624	2971.201	2787.549	2890.234	2518.016
ENSG00000137411	0	384.357	8.437	685.799	0	265.735	634.695	464.787
ENSG00000137413	756.594	1051.998	1183.238	1164.166	651.922	946.717	1097.3	872.467
ENSG00000137414	555	602.037	670.579	703	440	571	482.012	425
ENSG00000137434	2	13.001	21	6	8	16	28	14
ENSG00000137440	6	0	1	1	0	0	0	0
ENSG00000137441	58.131	5	11	63	4	2	2	3
ENSG00000137449	1108	769.998	861.001	860.717	735	888.238	503.001	724
ENSG00000137460	14	9	15	17	8	9	12.172	19
ENSG00000137462	16	40	84.084	36	5	8	6	21
ENSG00000137463	12.814	9	14.76	4.462	3.099	1	2	6
ENSG00000137473	0	0	0	1	0	0	0	0
ENSG00000137474	0	3	6	3	5	7	4	0
ENSG00000137478	3319.066	4152.052	4845.159	4044.927	2443.579	2953.148	3687.927	3182.237
ENSG00000137486	32	224	386	79.001	53	52.999	73	97.999
ENSG00000137491	125.001	522	236.001	145.253	17	3	176.999	79.999
ENSG00000137492	974.977	1037.474	1329.91	1161.831	819.277	701.734	880.241	1039.223
ENSG00000137494	255.879	262.202	365.296	314.223	131.454	213.397	197.613	233.822
ENSG00000137496	622.334	671.958	1107.898	900.737	701.438	696.144	652.663	831.003
ENSG00000137497	8557.312	9233.816	8348.833	9048.893	5812.064	7175.488	7816.558	7546.661
ENSG00000137500	1210.946	1386.948	1608.97	1351.987	969.607	1022.656	1334.625	1681.693
ENSG00000137501	41	40	44	45	17	6.003	21	105
ENSG00000137502	2342.879	1805.757	2533.188	2455.255	538.105	1053.108	867.033	1785.067
ENSG00000137504	2404.003	2816.97	2938.076	3570.291	1743.001	3445.896	2621.05	2531.698
ENSG00000137507	183	52	56.999	203	30	97	184.999	19
ENSG00000137509	1088.557	1114	1403.53	1177.744	763.895	738.268	720.091	972.024
ENSG00000137513	632.999	614	662.629	680.313	430	563.999	849.169	561.041
ENSG00000137522	897.217	885.087	907.002	966.45	427.486	609.074	687.594	823.226
ENSG00000137547	603	949	1082	972	749.014	733.011	1439.176	918
ENSG00000137558	1	0	0	6	0	1	0	2
ENSG00000137561	0	0	0	0	0	1	0	1
ENSG00000137563	564.204	648.888	682	839.999	470	590.999	932.999	680.001
ENSG00000137571	609.825	904.813	1346.233	676.634	783	857	716.036	1437.003
ENSG00000137573	10	6	210	20	9	7	64.001	13
ENSG00000137574	897.134	1158.77	1444.979	1366.307	881	775.891	1566	1146.181
ENSG00000137575	1250.001	1351	1425.995	1211	649	1360.282	982	754.001
ENSG00000137601	701.453	682.001	731.829	702	450	430.178	619.003	633
ENSG00000137628	2197.766	1978.904	3161.272	596.775	961.999	477.984	445.999	1357.066
ENSG00000137634	0	0	0	0	0	0	0	0
ENSG00000137642	13274.699	13703.372	13489.075	11931.341	11775.697	12816.943	11797.787	13932.09
ENSG00000137648	6.001	1	1.026	3.025	2.04	3	7.1	5
ENSG00000137656	486	616.402	666.32	722.463	414.136	507	1044.452	602
ENSG00000137672	0	2	2	1	1	1.009	2	1
ENSG00000137673	1948.706	742.373	482.461	148	97	4	100	649
ENSG00000137674	6	1	18	9	0	0	4	8
ENSG00000137675	1	0	0	1.004	0	0	0	0
ENSG00000137691	2.187	2.903	7.908	8.353	3.095	5.308	0	3.557
ENSG00000137692	1138.999	1253.263	1344.344	1436.559	1003	990.824	1547.896	1054.017
ENSG00000137693	4	7	62	8	3	3	21	13
ENSG00000137699	14	2	4	29	1	3	0	8
ENSG00000137700	519.366	524.481	590.936	616.753	456.611	716.018	901.444	690.837
ENSG00000137707	0	0	0	0	1	1	1	0
ENSG00000137709	172.001	96.001	53.049	26	18	5	30	46
ENSG00000137710	3053.096	3059.744	3334.475	3105.423	1636.989	1825.981	2751.337	2552.991
ENSG00000137713	1242.18	1421.011	1705.299	1597.999	886.265	943.178	1913.808	1758.908
ENSG00000137714	394	416	873.896	607.446	402.353	365.562	383.018	436.329
ENSG00000137720	389.538	468.928	445.743	442.277	449.05	545.548	392.401	470.453
ENSG00000137726	33	29	33.917	164.962	14	16	22	14
ENSG00000137727	2	19	231.001	8	1	6	5	10
ENSG00000137731	214.817	222.587	885.639	223.247	14.805	35.727	146.517	569.441
ENSG00000137745	0	0	1	3	1	0	1	1
ENSG00000137747	11	22	18	10	1	17	9	20
ENSG00000137752	665.06	932.842	1626.346	456.439	705.042	191.137	271.93	2249.014
ENSG00000137757	0	0	1	2	2	0	0	0
ENSG00000137760	238.217	364.053	373	403	222.999	261.001	494.001	351.001
ENSG00000137764	380.059	495.987	444.001	484.165	404	362.997	436	396
ENSG00000137766	106	260.002	87.007	86	9.007	648.137	153	31
ENSG00000137767	1006	876.296	1120	1166.946	701.999	938.48	1206.003	1163.065
ENSG00000137770	1837.325	1909.218	1898.029	2166.305	1396.678	1373.376	2114.333	1643
ENSG00000137776	3449.178	3981.904	4857.458	4576.777	2892.023	3048.049	4887.078	3869.601
ENSG00000137801	214.052	242.06	4029.452	343.987	170.038	174	736.203	228.999
ENSG00000137802	972.294	1159.445	1174.288	918.958	630.449	758.6	1303.109	1116.293
ENSG00000137804	2217.063	2878.506	3661.606	3457.276	1821.564	3031.947	5560.578	3115.525
ENSG00000137806	385.297	364.306	532.28	554.076	230.028	272.721	351.195	362.003
ENSG00000137807	1095.04	1193.001	1429.419	1509.999	841	1274.467	2315	1379
ENSG00000137809	25.814	256	847.164	28.583	22	23.004	59.041	27
ENSG00000137812	2048.538	1716.118	2327	2117.198	1033	1432.045	2799.826	1922.745
ENSG00000137814	893.976	1202.942	1201.973	1189.244	968.997	845	1661.146	1092.986
ENSG00000137815	1714.409	2008.136	2502.719	2169.158	1698.677	1665.783	2503.493	1919.285
ENSG00000137817	1290.131	1559.395	1626.175	1708.842	1137.809	1836.473	1297.037	1194.797
ENSG00000137818	29465.094	32605.42	33274.334	34585.261	45207.648	42172.891	39273.169	34769.827
ENSG00000137819	0	2	4	2	2	5	5	2
ENSG00000137821	42.238	53.132	54.163	51.089	173.162	111.046	53.093	67.11
ENSG00000137822	898.512	1035.596	1201.072	1188.913	816.681	1147.829	1490.385	1074.491
ENSG00000137824	819	1024.04	954.072	1036.064	769.353	819.026	999.665	760.146
ENSG00000137825	55	30	32	54	12	19	68	31
ENSG00000137831	217	34.999	102.226	84.614	178	90.169	99.337	54.151
ENSG00000137834	2	9	12	4.002	0	1	6	3
ENSG00000137841	821.286	1070.476	1273.322	1268.084	529.001	1099.999	551.002	611.999
ENSG00000137842	393	445.037	624.222	442.119	430.001	365	471.001	468
ENSG00000137843	76	29	62.316	50.04	29	32	50	135.039
ENSG00000137845	3444.624	3786.912	3451.286	3230.582	1732.372	2556.663	2594.127	2397.66
ENSG00000137857	129.342	90.997	90.279	124.782	119.937	172.773	75.235	155.012
ENSG00000137860	11.116	11.698	11.437	13.623	3.324	15.67	6.242	12.243
ENSG00000137868	32.001	59.982	40	61.006	168.306	69.375	43.002	21
ENSG00000137869	8	9	11	9	7	2	5	17
ENSG00000137871	529.747	684.498	624.568	717.833	418.316	519.866	635.293	632.402
ENSG00000137872	4	3	1	1	2	0	7	1
ENSG00000137875	473	550	246.004	107	408	104	135	329.012
ENSG00000137876	3032.09	3626.633	3904.814	4320.017	2635.942	3840.927	3713.453	2876.111
ENSG00000137877	22	51	62	63	56	41	111	107
ENSG00000137878	0	1	1.028	2.023	0	1.013	1.058	0
ENSG00000137880	420.808	393.579	285.134	411.066	413.843	429.793	461.894	358.028
ENSG00000137936	244.999	292.084	320.138	434.126	26.006	146.052	229.845	96.07
ENSG00000137941	89.251	72.78	52.091	61.6	32.939	16.972	16.3	64.013
ENSG00000137942	7	4	19	19	8	5	5	11
ENSG00000137944	699.724	890.679	1227.22	840.105	678.816	791.473	824.429	941.18
ENSG00000137947	725.985	832.216	1001	1004.001	663	665.081	905.089	764
ENSG00000137948	1.933	1	3.227	4	0	1	0	2
ENSG00000137955	2461.872	3309.206	3754.246	3784.385	5308.914	3399.362	5098.641	3524.953
ENSG00000137959	15017.806	20890.762	28697.433	13764.717	10650.766	17630.584	9823.303	16796.052
ENSG00000137960	14	12	22	19	2	1	5	3
ENSG00000137962	23.001	15.513	109.008	30.002	16.021	13.004	47.008	11.003
ENSG00000137965	3250.783	5568.658	7461.946	3988.274	2869.975	2735.44	2687.948	4986.759
ENSG00000137968	179.094	301.987	85.342	25	261.86	12.127	2	7
ENSG00000137970	30.88	10.938	43.512	36.164	15.325	32.885	23.575	0
ENSG00000137975	1	3	0	1	1	0	4	0
ENSG00000137976	0	0	0	0	0	0	1	0
ENSG00000137992	944.584	979.229	1115.698	1027.002	531.966	781.336	954.267	1008.524
ENSG00000137996	1264.361	1531.592	1600.024	1822.793	1066.339	1088.76	1467.022	1282.088
ENSG00000138002	466.296	471.043	532.723	523.123	267.35	643.966	465.624	462.591
ENSG00000138018	1157.157	1334.852	1516.82	1768.204	971.598	1273.315	1930.695	1298.182
ENSG00000138028	1.004	3.035	8.128	12.113	216.578	8.346	20.254	44.496
ENSG00000138029	2766.952	3215.136	3328.624	2739.302	2119.006	2180.005	2536.78	2562.292
ENSG00000138030	66	119.993	106.909	158.065	86.439	55.683	257.81	75.669
ENSG00000138031	2354.875	3165.94	2760.119	2198.637	1628.499	2520.168	3547.225	1845.865
ENSG00000138032	1612.648	1489.557	1749.484	1510.549	969.202	1230.663	1602.77	1584.437
ENSG00000138035	1648.077	1853.292	2445.126	2172.134	1859.91	1522.955	2038.394	1882.329
ENSG00000138036	558.748	478.389	564.543	528.334	320.971	395.738	314.453	476.323
ENSG00000138039	2	3	0	0	1	2	1	13
ENSG00000138050	363.278	465.321	517.235	513.502	617.321	410.141	481.788	427.447
ENSG00000138061	11455.806	4327.626	2127.118	5277.733	264	803	892	116
ENSG00000138068	0	0	1	0	1	0	0	0
ENSG00000138069	3139.993	3348.676	3882.658	4136.428	2201.275	2467.46	3449.244	3582.402
ENSG00000138071	12422.088	15738.544	18663.404	15754.485	10923.687	12673.372	20945.517	13947.109
ENSG00000138073	1497.069	1639.691	1716.338	2396.098	1050.33	1248.999	1691.191	1400.376
ENSG00000138074	1137.168	1102.958	1399.233	1154.856	835.925	1490.014	1580.223	1194.062
ENSG00000138075	0	0	0	0	1	1	0	0
ENSG00000138078	1660.35	1387.303	1636.303	1856.822	1112.281	1240.011	1674.657	1782.806
ENSG00000138079	19.656	10.194	17.6	30.658	22.516	12.238	16.834	13.995
ENSG00000138080	133.176	176	239.423	53	55.008	33	107.007	43
ENSG00000138081	1908.73	2075.686	1740.684	1974.158	1158.66	1416.421	1398.035	1299.408
ENSG00000138083	155.234	48.193	39.043	32	42.008	0	26	3
ENSG00000138085	1322.832	1341.587	1544.404	1377.724	1251.995	1302.034	1273.063	1254.945
ENSG00000138092	609.036	784.797	837.857	956.719	548.363	549.343	1451.898	741.408
ENSG00000138095	6388.818	6242.378	6785.488	6807.624	6479.219	5528.922	11247.013	7163.096
ENSG00000138100	3	1	2	2	1	0	3	4
ENSG00000138101	1217.025	1125.002	1562.001	1210.999	645.999	1023.403	528.067	850.002
ENSG00000138107	1738.034	2218.987	2595.245	2440.111	1480.193	1891.699	2839.017	2226.827
ENSG00000138109	3.022	6.95	3.048	5.027	4.117	4.005	2.007	6.065
ENSG00000138111	84.999	132.862	112.273	148.352	107.422	118.196	155.352	136.495
ENSG00000138115	5	32	10	9	2	12	13.044	2
ENSG00000138119	51	42	196	30	16	18	77	16
ENSG00000138131	19	22	226	62	15	20	26	27
ENSG00000138134	1292.247	1151.894	868.008	1015.005	377.004	705.002	869.015	767.016
ENSG00000138135	1	0	4	0	0	1	3	0
ENSG00000138136	0	0	0	0	0	0	0	0
ENSG00000138138	2621.606	2767.283	2879.769	2515.323	1412.906	1633.773	2149	2100.54
ENSG00000138152	5	1	0	2	21	1	1	1
ENSG00000138160	1983.567	2316.385	2649.12	2976.372	1589	1855.549	4662.963	2290.064
ENSG00000138161	23.445	22.671	8.488	35.825	11.903	40.392	51.611	35.04
ENSG00000138162	15.13	9.019	14.014	21.248	5.014	13.523	57.185	28.142
ENSG00000138166	5364.611	3125.805	3656.269	3963.723	2043	2274	1721.072	4727.592
ENSG00000138172	297.065	684.999	661.27	474.009	232	401	678.001	587.012
ENSG00000138175	616	517.694	570	628	377.188	395.134	696	689.607
ENSG00000138180	1472.548	1494.002	1753	1769.87	613.297	1185.185	3281.961	1599.016
ENSG00000138182	1527.999	1608	1993.473	2231.156	846	1091.728	2865.147	1707
ENSG00000138185	13554.811	13329.238	12035.833	10839.914	9957.275	15386.709	9366.623	9844.958
ENSG00000138190	166.001	256.031	249	214	190.999	172	262	208
ENSG00000138193	108.737	118.941	137.873	142.042	159.188	178.257	182.439	181.023
ENSG00000138207	0	0	0	0	0	0	0	0
ENSG00000138231	351	404.361	550.367	477.206	352	350.382	583	441.001
ENSG00000138246	3200.836	3185.195	3201.258	3275.787	1884.001	2150.14	2841.621	3043.002
ENSG00000138271	1	4	1	7	1	4	10	3
ENSG00000138279	3506.137	3739.328	4226.187	3856.583	3110	3279.354	4398.82	3857.678
ENSG00000138286	638.818	733.168	818.562	861.862	420.517	763.609	712.267	711.95
ENSG00000138303	957.395	1146.776	1465.696	1120.873	994.794	960.11	1333.805	1104.158
ENSG00000138308	0	0	0	0	0	0	0	0
ENSG00000138311	1	0	2.016	0	1	0	0	2
ENSG00000138315	0	0	4	1	0	0	0	0
ENSG00000138316	10	7	5	24	16	0	1	2
ENSG00000138326	19722.517	19105.193	31213.457	31018.487	36783.168	37508.528	37494.42	32731.065
ENSG00000138336	37	58	77	59	55	37	72	76
ENSG00000138346	540.17	743.001	848.017	943.717	397	541.036	1716.652	811.385
ENSG00000138347	2	6	2	3	1	4	4	5
ENSG00000138356	2	1	43	11	4	3	13	2
ENSG00000138363	3321.776	4006.975	4488.764	4117.451	4284.128	3835.872	7086.631	4720.115
ENSG00000138375	1019.645	975.148	960.346	967.26	598.078	979.488	894.092	789.14
ENSG00000138376	791.022	858.748	909.025	996.128	810.079	1010.529	1460.143	1050.799
ENSG00000138378	252.591	35	222.999	334.006	15	113.998	33	27
ENSG00000138379	5	2	13	6	3	3	2	0
ENSG00000138380	480.624	547.65	541.111	574.61	436.902	688.384	453.209	581.095
ENSG00000138381	858.089	1143.823	1297.286	1356.026	1109.139	881	1332.301	1032.397
ENSG00000138382	734.405	964.698	1053.732	948.172	780.644	810.521	1164.74	942.295
ENSG00000138385	2200.612	3144.597	3680.375	3577.486	2545.684	2499.606	5513.989	3630.68
ENSG00000138386	2202.998	1277.001	1353.001	1411.999	967.985	1411.019	1420.662	1161.066
ENSG00000138395	0	1	5	1	2	1	2	1
ENSG00000138398	2795.041	3080.001	3623.266	3597.745	2396.453	2626.45	4063.99	3011.171
ENSG00000138399	1779.657	1815.213	1704.232	1757.287	1208.561	1466.7	1899.998	1796.768
ENSG00000138400	42.001	14	40.001	38	45.001	18	42.001	29
ENSG00000138411	2040.315	2743.701	566.781	815.001	4040.239	3379.207	1317.093	1350.433
ENSG00000138413	1334.894	1464.478	1967.62	1620.167	644	1283	1764.402	1951.868
ENSG00000138430	2927.875	3733.456	3696.615	3633.256	3362.075	2881.883	4955.636	3279.865
ENSG00000138433	911	976	1184.881	1167.117	593	1007.186	769	802.836
ENSG00000138434	1779.846	2018.948	2668.791	2415.052	1063	1352	1922.93	1560.682
ENSG00000138435	1	0	3	5	0	0	0	0
ENSG00000138439	192.582	299.414	358.306	383.545	273.643	193.243	342.597	295.983
ENSG00000138442	1015.998	1274.967	1648.983	1199.83	981.607	907.606	1839.952	1284.257
ENSG00000138443	1388.781	1675.349	1912.447	1402.696	1410.789	1400.094	1512.038	1449.111
ENSG00000138448	792	791.61	820.123	855.999	527	790.001	726.001	655
ENSG00000138449	2	6	15	2	1	5	1	3
ENSG00000138459	711.118	692	839.086	908.008	419	610	756.043	788.001
ENSG00000138463	33	45	66	42	34	38	49	61
ENSG00000138468	793.71	1191.873	1114.165	814.784	574.47	808.903	561.759	810
ENSG00000138472	0	0	0	0	0	0	0	0
ENSG00000138483	1	0	0	1	0	0	0	1
ENSG00000138495	1724.741	1777.716	1665.518	1611.619	1187.191	1791	1534.862	1586.763
ENSG00000138496	3287.139	3662.789	6271.575	3967.812	1821.54	2220.9	2501.061	2838.235
ENSG00000138587	54.246	84.955	84.806	89.468	63.893	105.933	117.318	75.771
ENSG00000138592	2034.46	1922.547	2245.744	2302.324	1148.035	1342.637	2004.328	1659.082
