JL5-1	JL5-2	JL5-3	JL12-1	JL12-2	JL12-3	MADV1	MADV2	MADV3	MADC1	MADC2	MADC3	808-1	808-2	808-3	MD1-1	MD1-2	MD1-3	MD5-1	MD5-2	MD5-3
ENSG00000110090	1473.087	967.478	566.211	1096.145	817.611	1036.183	708.008	1426.744	1479.231	3795.379	541.012	681.057	7600.867	5496.04	4960.685	4337.08	5427.263	5488.764	2979.029	3469	4899.592
ENSG00000110092	8369.89	9814.234	14288.54	6263.132	12119.867	12274.153	12887.427	16853.282	13192.166	22931.817	19719.68	11645.715	22415.163	19062.559	21446.317	17066.089	21632.049	17914.874	22432.324	19765.338	23545.6
ENSG00000110104	3978.236	5781.616	7139.073	3162.003	5792.835	4332.031	7694.023	9305.769	6612.915	5788.435	4930.007	7535.555	5093.993	4304.463	6162.16	6087.114	6203.497	6626.323	3793.843	4548.558	5776.674
ENSG00000110107	10189.789	13870.605	16293.622	8739.371	16058.229	12394.106	22139.194	21641.62	16441.512	16046.234	13323.339	18786.8	12742.228	10789.84	17214.064	13651.451	14375.846	15636.31	10447.048	11716.027	14861.875
ENSG00000110108	2258.484	2470.934	3130	2020.595	2512.027	2714.593	3176.411	4237.688	3057.206	3415.074	2737.145	3475.38	4447.351	2489.853	3403.868	2640.565	2691.389	3059.292	2576.626	3027.69	3171.894
ENSG00000110148	601	756	862.821	541.998	445.08	1110.007	340	362	439.003	235	666	485.111	653	76	252.001	338	176	262.001	388	375	445
ENSG00000110169	37.741	40	35.073	46.014	55	65.135	68.999	98.983	67	31.999	54.991	53.999	27.001	27	17	31.289	14	21.999	22	29.999	40.004
ENSG00000110171	1475.754	1829.025	1324.788	1247.499	1508.425	1185.933	1365.128	2125.078	1391.774	1281.001	1421.018	1431.133	968	984	823.001	975.098	987.043	1126.077	1141.086	972.112	1248.997
ENSG00000110172	7722.841	4931.767	7028.998	6281.402	6686.134	2942.313	9039.235	9960.445	7435.139	8987.446	6189.973	6275.291	9305.772	7947.017	4074.113	7473.779	6435.962	4469.539	7329.912	3765.235	5373.567
ENSG00000110195	143	106	63.999	132	94	225.003	70.001	93	82.999	16	210	63	18	8	9	29	18.999	33	15	5	12
ENSG00000110200	2724.572	2811.611	2535.043	2317.363	2526.589	2133.136	3095.178	4352.814	3326.954	2784.646	2465.109	2801.484	3176.22	2223.933	2877.668	2379.907	2757.814	3001.535	2211.54	2418.949	2695.034
ENSG00000110203	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
ENSG00000110218	1944.134	2282.35	2879.067	1477.576	2144.378	2458.118	3027.76	4139.036	3117.97	2488	4272.816	3497.529	1994.745	1750.103	1920.026	2015.507	2037.797	2140.499	2354.689	2640.002	2617.047
ENSG00000110237	3181.344	2693.5	1789.037	2856.368	1987.038	2573.077	1208.208	3167.225	2548.341	1031.013	2962.459	1969.309	1098	1434	664	1191.104	1149.396	1539.999	1523.035	1322.141	1596.037
ENSG00000110243	1	2	3	0	8	1	1	5	3	3	6	6	5	3	2	10	4	4	2	3	2
ENSG00000110244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000110245	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000110274	1772.034	1798.574	2193.948	1444.772	2376.116	1898.255	2064.766	3027.284	2161.998	1825.521	2734.46	2080.125	1410	1881.112	1305.098	1420.185	1440.897	1329.062	1513.373	1255.08	1666
ENSG00000110315	4500.377	4662.001	3485.999	3542	4160.982	4255.34	4022.311	5423.559	4258.056	3268.262	4210.716	4045.095	3612.717	4001.42	3424.232	3145.458	3408.354	3839.234	4449.138	3555.299	3736
ENSG00000110318	505.005	331	208	463	331	311	279	432	268.02	179	402	237	212	267.068	128	133	150	137	261	172.042	201.019
ENSG00000110321	78817.198	86963.25	88911.472	60747.662	79323.719	74916.269	95883.903	120130.456	91037.814	86065.902	86934.482	88520.447	87978.0320000001	76699.628	93384.831	97608.086	93714.675	93773.937	75256.273	74881.631	94134.58
ENSG00000110324	51	23	19	28	20	9	1	7	18	5	16	17	3	3	1	12.001	17	10	4	3	2
ENSG00000110328	900	838	393.078	792	751.008	907.501	888.018	1549.04	1069.034	452.266	859.228	944.043	229	269	237	394	419.099	481.184	458	378	485.043
ENSG00000110330	4804.954	4461.752	3798.24	3912.568	3966.195	4545.673	4247.078	5445.866	4651.572	3346.765	4544.858	3826.591	3587.831	3756.824	3035.819	3671.234	3831.058	3900.636	3698.009	3083.937	3245.29
ENSG00000110344	4374.796	5213.374	4660.043	3590.233	4651.068	4310.982	4858.846	6686.164	4745.132	4220.68	5247.634	5718.394	4748.153	4837.11	5001.616	5500.187	5558.756	6285.509	4422.217	4637.851	4678.689
ENSG00000110367	13545.872	11014.674	9832.914	10895.281	12353.766	11725.917	15582.75	20212.714	16209.234	14613.318	17677.387	13564	15937.559	14549.513	11495.366	11751.102	12515.085	11108.552	14481.952	10433.805	13091.508
ENSG00000110375	20	31	12	17	28	13	22	24	13	11	26.023	15	10	22	10	12	10	16	12	5	13
ENSG00000110395	11679.908	10631.956	9560.532	9620.075	10663.884	10134.263	10220.799	14593.902	11055.276	8437.464	12925.143	10404.604	8346.051	10340.037	8914.583	9592.134	10058.148	8142.785	8676.755	7165.018	8955.226
ENSG00000110400	11571.192	13589.175	15895.78	9087.847	16024.648	15100.87	14738.159	23901.994	16238.193	11263.886	17111.552	16816.183	8056.443	10715.277	10043.88	12225.321	15230.896	10299.027	9707.195	8903.931	10354.749
ENSG00000110422	2287.319	2127.048	1685.02	1969.002	1947.198	2164.015	2295.085	3197.871	2320.529	2225.095	2730.78	1871.51	2662.001	2691.728	2178.827	2066.562	2247.373	2107	2596.87	1934	2392.792
ENSG00000110427	707.937	532	393	455.002	375.001	445	247.001	395	420	171	384.113	361	245.001	100	126	244	222	238.093	242.001	236.398	289
ENSG00000110429	2623.005	2464.169	2425.687	2103.554	2783.045	3098.109	3577.552	4262.52	3075.525	3154.661	3234.014	2829.124	2332.864	2471.001	2069.496	2347.088	3044.68	2377	2497.437	2301.999	2906.105
ENSG00000110435	4723.904	4132.331	3705.758	3709.547	4609.99	4245.697	4770.248	5563.691	4183.081	4186.032	3949.229	3719.751	4055.105	3922.824	3853.613	4165.563	4659.064	5000.003	3403.441	3397.161	4109.486
ENSG00000110436	208.001	243	164	176.001	138	241.089	50	114	128	45	142	76	102	51	99	98.999	93	49	77	50	62
ENSG00000110442	1200.942	1660.125	2209.001	962.04	1782.763	1262.107	2449.176	2101.477	1623.113	2083.084	1954.232	2185.543	1520.003	1244.672	2065.89	1771.98	2024.612	2020.032	1077.01	1391	1632.803
ENSG00000110446	1706.915	1785.203	2051	1265	1521	1909.194	1393.056	2326.608	1903.757	583.156	2055.832	2253.001	396	365	367	749.025	917.064	820.002	444	378.001	408.002
ENSG00000110448	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000110455	144	296.031	261	102.014	261	380.134	226.084	438	406.999	307	694.151	421.008	226	293	274	234.194	245.999	247	315.001	291	315.999
ENSG00000110484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000110492	24890.972	21614.953	19196.182	22958.03	18743.072	25312.065	20181.23	22459.702	17446.013	33590.288	28436.983	16332.6	39368.571	28566.089	25927.129	20320.463	23449.488	26686.626	31959.369	28318.465	34375.504
ENSG00000110497	2481.845	3181.936	3330.6	2006.123	2994.221	2814.004	3445.163	4474.578	3102.593	2914.039	3382.303	3356.578	2446.096	2414.74	3053.177	3101.67	3397.496	3196.462	2360.896	2404.267	3033.039
ENSG00000110514	4634.787	3883.304	4043.506	3765.912	4714.889	5515.444	5394.577	8583.59	5222.246	4723.677	4809.138	4609.605	3935.145	4935.404	3101.123	3062.823	4092.43	2587.918	3184.603	2565.364	3341.001
ENSG00000110536	2571.183	3032.338	2141.793	2144.774	2341.232	2978.407	2580.412	3548.236	3056.614	2119.923	2796.651	2304.258	2025.583	1723.421	1652.105	1640.56	2078.719	2256.617	1735.103	2077.251	2043.224
ENSG00000110583	2078.742	3300.114	5211.348	1631.027	4411.76	2709.35	5397.564	4221.005	2857.263	5317.12	4296.93	5016.919	3109.08	3287.127	4488.371	3358.272	3996.003	3773.422	3294	3361.425	4601.406
ENSG00000110619	8593.193	8745	5694.227	6772.51	5443.747	4798.615	4327.356	8425.674	6838.349	3019.375	4483.832	6566.626	0	0	5.797	1960.895	1216.913	508.01	0	0	0
ENSG00000110628	175.539	194.464	60.312	197.959	123.51	234.315	43.154	164.777	150.585	157.984	205.993	82.551	198.808	127.068	74.188	148.84	238.173	215.05	149.492	151.817	134.554
ENSG00000110651	21652.713	21476.857	19838.986	18205.951	19218.811	17123.697	18727.325	24954.498	20099.256	16457.427	16263.426	19106.06	17011.718	13914.805	15377.083	17570.614	18460.163	20911.767	12562.699	12711.778	15161.533
ENSG00000110660	2898.06	2863.348	3384	2458.084	3115.007	2579.866	3399.333	4552.745	3374.131	4035.773	3187.469	3548.116	4012.177	2920.679	3424.072	3501.817	4242.75	3943.677	2769.202	2822.104	3679.305
ENSG00000110665	5	3	0	6	4	5	0	2	1	0	8	1	0	0	1	0	0	1	1	3	0
ENSG00000110675	52	74	68	42	48	87	31	98.999	87	42.315	40	57.999	48	67.001	75.999	121.999	244	79	81	116	153
ENSG00000110680	89	145	81	67	42	15	121.999	74	38	38	63	100.001	19	29	36	56	18	26	11	6	19
ENSG00000110693	7	18	7	5	13	53	2	10	2	2	19	5	3	13	3	9	8	7	7	9	6
ENSG00000110696	16270.223	20716.885	19032.141	12158.963	18893.343	19129.833	24236.316	27146.084	19559.369	18964.473	18667.75	19144.693	16905.821	18506.424	19474.656	18646.137	19697.161	20961.686	15616.479	15077.188	17654.85
ENSG00000110697	5490.726	5756.449	5540.051	4327.154	4982.189	3987.861	3998.254	5555.603	4346.563	3080.476	3606.457	3787.416	2589.996	2365.521	2000.444	3493.054	3785.198	3072.996	2758.674	2351.254	2858.508
ENSG00000110700	33780.399	33178.178	27133.005	32206.391	28653.552	29269.152	32557.662	46524.652	36152.942	32478.893	29416.991	27154.403	33659.393	34731.272	28938.946	24916.769	30723.105	29544.191	28458.849	25876.971	31630.887
ENSG00000110711	2427.602	1900.724	1244.483	2145.004	1463.106	1711.865	1734.371	2729.244	1995.009	1900.022	1943.976	1389.67	1900.253	1190.47	868	1174.452	1599.999	1238.016	1252.04	1048.098	1191.085
ENSG00000110713	11162.802	12078.257	11732.621	8911.859	13129.041	11053.052	15439.973	20221.813	13939.942	11702.966	14650.369	14248.564	11250.848	12225.426	11310.562	12318.765	12335.155	11576.977	11437.623	9023.302	12394.047
ENSG00000110717	7489.342	6974.389	6017.342	7142.021	7757.154	7700.109	8403.669	10313.444	8473.847	8019.91	7948.959	6485.805	6994.396	5739.153	5526.838	4509.7	5257.863	5260.326	5196.889	4919.982	6126.427
ENSG00000110719	1518	1747.493	1334.998	1400.001	1716.177	2627.974	1457.488	2564.992	1743.997	1730.002	2459.983	1717.379	1558.847	1523.599	1171	1161.001	1428	1179.359	1472.034	1155.001	1326.001
ENSG00000110721	4814.828	5943.484	7612.988	4244.624	8810.343	7514.047	10321.825	12429.947	10050.56	8471.948	8272.23	7912.101	5998.04	6197.721	6479.703	7356.383	7184.316	6040.647	5661.377	4885.441	6654.05
ENSG00000110723	551.001	591	369.01	509	472	601	344	735	500	502.836	341	339	725	687	505	554.028	485	556.499	712	605	791
ENSG00000110756	2065.331	2411.994	1830.04	1455.02	2138.36	1813.899	2847.576	3218.096	2541.328	2140.338	2374.235	2571.048	1747.001	1603.072	1827.705	1837.465	1892.462	2154.066	1642.998	1477.001	1869.211
ENSG00000110768	1509.578	2478.614	2934.133	1136.46	2743.841	2345.029	3536.692	4412.196	3107.646	2841.893	2954.981	3245.484	2447.251	2496.54	3529.472	3148.903	3006.522	3239.001	2496.258	2375.628	2955.091
ENSG00000110777	0	5	1	2	2	2	0	7	4	0	2	0	0	5	3	4	6	5	0	0	0
ENSG00000110786	1605	1285	797	1362.036	1148.999	2224.839	1266.217	2227.467	1780.72	1095.174	1648.329	1084.219	743.001	404.114	205.102	690.003	659.999	639	1236.135	922	1106
ENSG00000110799	83	92	86	71	52	116	60	155	158	64	1326.299	116	106	69	58	92	88	110	78	76	93
ENSG00000110801	2097.11	2139.832	1615.108	1735.978	1704.112	1643.845	1646.543	2672.611	1996.984	1667.332	2472.007	1723.192	1582.717	1361.001	1271.295	1554.23	1805.979	1763.879	1146.691	1101.066	1330.258
ENSG00000110811	5845.726	5172	4087.036	4797.572	5478.858	4757.352	5830.8	6392.819	4565.956	4804.979	6317.05	5251.485	4310.385	2870.059	2434.054	2344.111	2703.016	2647.992	2861.027	2625.396	3232.571
ENSG00000110841	6662.022	4601.726	2932.962	5427.149	3099.703	4761.497	3795.095	5764.877	4435.379	1396.302	3739.643	3525.917	1343.012	911.971	669.111	2482.286	1587.003	2016.247	1051.999	685	1011.999
ENSG00000110844	3040.283	2909.567	1580	2755.679	2563.461	4498.89	2579.249	4722.766	3617.944	3278.88	3828.796	2577.287	4124.02	3399.897	2597.054	2060.101	2646.576	2675.494	3428.639	3084.26	3337.056
ENSG00000110848	0	3	0	2	0	4	3	4	0	2	3	2	2	11	0	1	8	1	4	0	0
ENSG00000110851	1883.564	2413.608	2473	1528.329	2309.044	2661.868	2829.59	3843.377	2814.818	2351.252	3059.534	2964.236	2086.989	2132.442	2203.23	1951.356	2086.131	2311.996	2029.004	2052.403	2201.054
ENSG00000110852	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	3	1	0	0	0	1
ENSG00000110871	3676.013	3207.377	2323.686	3020.855	3461.001	3800.808	4048.594	5275.571	4443.369	3822.92	4120.848	3223.275	4022.448	3774.998	2731.012	2455.491	2753.02	2972.445	3616.998	3017	3582.169
ENSG00000110876	40	13.001	8	38	51	25.006	11	34	16.001	12	23	17	14	19	13	19	19	6	19	5	11
ENSG00000110880	18939.388	17932.037	14586.035	14977.902	14766.085	15395.007	14169.046	21052.245	17976.237	13480.684	15152.58	15550.63	15151.247	12401.44	12373.596	16386.286	16400.439	17299.662	13254.071	12237.267	13758.794
ENSG00000110881	451.999	545.999	282.05	322.001	259.033	582.001	247.001	598	491	438.008	561.001	384	483.999	252.008	273.009	244	255	298.013	471.007	554.012	611.999
ENSG00000110887	3	1	0	4	0	7	0	0	2	3	0	2	1	0	0	1	0	0	0	0	0
ENSG00000110888	5523.102	5869.17	4710.434	4845.148	5851.298	5661.999	4208.449	8743.204	7298.016	5734.475	6835.091	5188.001	3552.132	4761.645	3136.425	8584.088	6306.358	4488.807	4524.741	3866.481	4277.616
ENSG00000110900	601.116	789.175	619	477.015	706.972	1747.119	548	788.001	959	327.037	1079.003	669	309	243	233	444.727	845.129	368.048	679	549.013	332.999
ENSG00000110906	7134.723	6864.431	7133.668	5895.288	6180.94	7026.715	5474.215	7695.888	5896.184	5626.283	6409.209	5775.999	5392.727	5502.228	5592.654	6160.367	6573.83	6141.12	5195.777	4533.96	5919.681
ENSG00000110911	7434.74	6332.168	5158.964	6166.254	5965.723	6216.297	5885.084	8504.969	6614.185	5335.324	6918.482	6080.659	6043.442	5847.034	4744.484	4547.368	5138.494	4632.453	5210.15	4895.02	5588.677
ENSG00000110917	38454.146	33494.748	28799.005	30019.808	31626.099	25201.442	30075.82	42299.168	33135.816	34970.995	26482.567	33360.422	49180.596	41251.521	42752.057	39241.868	48275.137	44385.39	34718.337	35990.707	39141.011
ENSG00000110921	2533.525	1744.007	2673.17	2327.9	1743.803	1201.541	1904.31	1985.999	1658	1942.688	1786.292	1692.48	1590.001	1149.999	1730.487	1551.898	1718	1287.453	1555.001	1125.001	2051.434
ENSG00000110925	3197.111	4181.064	3393.068	2579.009	3311.8	3410.988	4036.155	4317.655	3336.157	3708.497	4359.662	3545.903	3382.853	3340.973	3710.326	2821.603	3586.121	3207.012	2771.081	2841.625	3198.745
ENSG00000110931	3989.319	5303.968	3374.694	3111.224	4518.125	4410.359	5192.225	5719.52	5020.481	5454.569	5190.328	4934.307	5346.407	4921.358	6089.911	3933.944	4455.35	5201.324	4184.935	4559.121	5143.264
ENSG00000110934	8	8	5	8	0	0	0	3	4	0	21	3	1	12	0	3	2	2	4	0	4
ENSG00000110944	44	56	49	30	58	111.031	82	101	104.001	122	41	55	149	173	164	65.79	126	110	104	81	73
ENSG00000110955	79913.765	75739.688	64401.135	62955.329	75372.166	76004.234	93459.554	116487.958	82942.164	83715.067	74328.922	76913.22	78665.664	79645.865	80051.144	72061.462	82224.828	82721.129	69706.774	63620.407	78829.114
ENSG00000110958	62594.797	56191.065	39426.699	48763.231	51635.445	48799.05	62295.874	83281.558	63922.476	49510.769	46810.28	53355.528	57304.747	48541.532	47154.423	46042.006	43513.375	50346.438	44961.861	41130.613	50657.404
ENSG00000110975	93.094	174.468	178	53	116	161	92	132	119	29	228	145	15	24	19	51	91	27	16	22	31
ENSG00000110987	1896.867	1552	1430.016	1709.042	1652.812	1891.066	1756.166	2629.33	1702	1954.207	2425.272	1545	1867.29	1869.961	1307.32	1183.683	1283.986	1256	2023.126	1706.002	1907.665
ENSG00000111011	14592.291	11002.145	7264.244	12863.775	11281.448	8349.53	9817.986	14272.79	9337.825	8980.212	12013.825	7472.931	11066.943	11869.059	8551.707	7141.413	6299.658	6167.086	10580.305	6457.311	10184.579
ENSG00000111012	168.999	155	141.999	128	129.999	180.083	103	229	219	43	185	168.001	69	64	47.001	86.009	99	74	62	70	60
ENSG00000111046	1	5	3	1	2	23	2	5	4	19	24	6	13	6	6	0	8	4	8	5	3
ENSG00000111049	2	0	0	0	0	1	3	0	4	0	1	1	0	0	0	4	3	0	0	2	2
ENSG00000111052	1325.275	1408.178	1226.059	1176.012	1253.161	1747.416	1237.999	2104.14	1745.826	1144	2458.202	1523	786.007	530	442	940.165	1218.877	635.999	791	737.039	921.524
ENSG00000111057	31768.736	29863.797	27180.078	25960.911	31968.233	24414.354	40703.622	40556.536	32121.99	43177.542	20383.684	31318.213	44619.474	40385.198	34839.311	34456.114	38634.192	35029.796	37829.463	31462.886	40679.438
ENSG00000111058	4187.761	3010.336	1802.845	3601.003	2951.842	3323.558	3390.853	5938.508	3736.202	2965.41	3812.455	3054.139	2978.004	3314.361	1632.317	2189.192	2280.053	2058.876	2603.523	1828.062	2631.867
ENSG00000111077	589	665	1242.049	616	1317.347	1949.556	2007.106	1598.589	1366.718	770.001	524.546	1141.001	416	376	575.25	568.095	654.084	431.011	370.998	316	300.999
ENSG00000111087	985.083	896.177	1602.001	802.1	1178	774.029	1211.007	1894.994	1690	1332.243	2513.041	1117.411	1422.001	1526.988	1890.255	1107.035	1542.296	1080	1211	1107	1260.999
ENSG00000111110	8523.639	7159.133	5752.023	7660.891	8204.466	9597.321	8597.214	12275.835	8497.199	5683.125	6846.048	7421.425	4671.334	6538.682	3371.194	4312.144	6016.855	3845.006	4658.959	3887.588	4737.575
ENSG00000111142	18331.135	20281.604	15153.111	14807.844	20560.166	20727.751	18962.978	28384.989	19556.172	15823.476	21360.304	18385.299	16482.996	18876.362	19601.003	15531.921	16355.724	17771.728	14785.75	14440.909	16914.533
ENSG00000111144	24734.255	20708.178	14378.138	21213.01	20201.224	23071.78	21352.584	31498.581	22261.551	18749.194	23697.613	19370.351	17280.843	19271.395	14549.629	15035.274	16754.67	15607.063	18527.519	15037.099	17742.073
ENSG00000111145	3317.265	3403.923	2467.445	2806.004	3141.157	2993.512	2702.121	3845.378	3110.299	2578.5	1563	2499.057	3688.001	2793.57	2082.659	2988.282	2482.218	2833	2719.261	2298.001	2721.073
ENSG00000111181	40	48	53.001	35	23	50	11	45	46	16	58.007	41	54	22	24	35	32	22	19	14	20
ENSG00000111186	371.001	256.001	162.001	335.112	169.999	327.999	86	150.047	169	227.151	108.999	132	179.999	410.001	215.001	199	206.998	298	374.313	377	384
ENSG00000111196	1574.23	1838.392	1973.019	1170.984	1839.356	1883.579	2229.34	2167.63	1876.162	1475.09	1889.056	1612.148	1581.055	1500.147	1947.453	1317.089	1504.634	1675.505	1325	1509.998	1549.522
ENSG00000111199	369.999	265.006	127	294	234	462.43	177.941	552	486.001	107	822.005	239	181	116	52	169	156	166	184	131	101
ENSG00000111203	1272.357	1054.117	1445.739	1172.562	1270.82	1024.998	1581.381	1761.975	1394.551	1218.622	1132.126	1420.778	1040.997	999.011	1268.116	909.134	1028.06	992.004	992.319	860.002	1019.388
ENSG00000111206	14352.001	15687.88	15195.755	11705.387	13735.727	12960.371	14377.003	18775.298	14826.522	11693.493	13940.312	15405.288	10919.026	10287.247	12881.372	13374.359	14149.6	14452.673	9208.499	10165.443	13158.187
ENSG00000111215	14.174	18.529	21.17	15.245	24.021	43.094	37.154	83.371	57.353	58.603	28.146	32.097	36.207	50.84	33.083	21.461	17.92	18.519	24.517	45.182	46.85
ENSG00000111218	103	75	30	124	70	168	36	93	106	102.986	168	64	115	72	85	67	69	78.999	134.048	174.001	162
ENSG00000111224	1198.218	945.402	609.016	1085.429	872.067	946.229	1195.918	1676.33	1234.028	1076	1469.568	1085.484	1184	1282.999	938.83	720.001	798.058	763	1331.241	940.11	1027.002
ENSG00000111229	13026.349	13122.771	11003.462	11091.281	11747.499	10808.65	14389.767	16736.626	13628.416	13943.439	11195.021	10511.324	15187.974	11654.42	12326.533	12197.171	13141.066	14033.625	10213.119	10129.382	11779.012
ENSG00000111231	4785.792	4696.519	3095.998	3796.322	3943.985	4284.087	4297.208	6014.702	4614.014	3727.148	3844.631	3916.876	3965.435	3817.005	3510.748	3543.359	3450.216	4161.552	3675.348	3067.027	3773.793
ENSG00000111237	2635.52	3219.173	2824.001	2130.801	3082.637	2884.022	3349.516	3991.263	3212.334	3348.389	3190.928	3082.428	3450.827	3211.647	3568.915	3172.026	3603.02	3936.999	2633.059	2944.225	3106.383
ENSG00000111241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000111245	1	7	4	3	0	4	1	8	4	1	2	6	1	4	1	8	9	3	0	0	0
ENSG00000111247	4184.359	4447.199	4117.051	3557.28	4621.946	4483.603	6313.716	7119.766	4944.508	5683.318	5835.544	5024.904	5131.005	5592.972	5705.851	4078.272	4363.181	4700.601	5193.275	4656.707	5176.711
ENSG00000111249	988	1075.603	1155.028	734.071	1047	1070.146	739.008	1077	903.02	949.015	1417	977	1064.165	1159	1082.01	970	1044	828	1199	1086	1169.977
ENSG00000111252	12899.154	10980.403	7935.334	10391.8	7612.434	5018.945	5944.312	10499.015	8972.23	3434.808	7042.911	8068.226	4787.081	5138.47	6009.281	6878.463	6692.515	6769.429	3606.6	3715.788	4607.642
ENSG00000111254	129.999	164.999	83	81	135.002	112	154	284	246.001	244.999	273.001	196.999	87	222	41	66	80	68	269	126.086	195
ENSG00000111261	1272.221	1112	754	1228.094	953	1435.08	612.999	1512.953	1495.058	550.243	1106	722	1230.03	735	608.001	793	1200	990	976.011	1041.147	961
ENSG00000111262	12	23	24	10	22	24	11	27	32	4	139	14	5	1	2	6	20	10	8	3	4
ENSG00000111266	11635.499	10259.434	8262.604	8820.285	7865.203	9990.954	9215.086	15351.84	11167.742	7062.722	10515.295	10673.744	7193.314	7945.132	5139.863	6740.34	7763.768	7057.645	9740.473	7162.09	9550.034
ENSG00000111269	4880.666	4365.1	3016.809	3933.118	3658.147	4286.257	3278.015	4526.993	3597.493	3064.525	3688.682	2753.449	3373.106	3800.459	2506.287	3101.796	3893.908	2958.07	3190	2459.507	2830.353
ENSG00000111271	2506.514	2144.126	1421.62	1969.836	2107.012	2641.035	1921.527	3032.996	2212.059	2075.915	2796.865	1766.332	2243.513	2339.609	1514.161	1373.065	1283.001	1280.163	2402.24	1687.001	2055.056
ENSG00000111275	8394.776	8142.573	4742.903	6527.517	6400.261	5499.397	6604.936	9480.823	6839.986	5412.482	7150.004	6855.32	5047.835	4082.849	3249.164	4577.317	5103.265	5291.607	4131.378	4014.117	5206.935
ENSG00000111276	4781.056	3962.353	2257	3948.367	3642.258	3457.708	3104.454	5118.501	3468.077	4232.485	4884.206	2589.084	4689.238	4900.54	3579.558	2824.218	3438.766	3305	4344.245	3404.534	4415.095
ENSG00000111291	10	12	2	8	3	5	2	12	8	1	1	13	3	10.007	11	4	3	4	6	4	6
ENSG00000111300	7631.53	7399.41	5994.033	6355.864	6791.502	5621.382	6720.802	9915.704	6269.535	5009.99	7332.818	6650.191	4743.085	5943.389	5290.305	5811.759	5187.613	5467.462	5411.008	4087.62	5878.376
ENSG00000111305	9	25	50	13	27	42.049	40	45	59	17	51.999	29	11	8.999	14	29	24	32	1	5	7
ENSG00000111319	10313.114	8090.477	10410.633	7995.099	8221.218	8387.368	8622.358	10998.942	8628.287	8995.686	15577.26	9423.108	10483.386	10700.549	10717.372	8876.027	11565.487	9930.94799999999	8914.114	8730.174	9286.599
ENSG00000111321	706.693	701	731.999	523	713.011	979.989	462.999	632.038	706.017	348	538.12	478.98	656.001	551.001	420.033	325	407.001	413	527.165	535.002	517.001
ENSG00000111325	851	1270.669	1072.588	672.512	1031.224	1019.024	1196.154	1823.544	1230.026	1262.338	1274.896	1472.119	1352.007	1421	1610.595	1169.821	1250.197	1394.323	998.821	1093.755	1290.136
ENSG00000111328	14248.754	17792.315	20278.893	12199.449	15679.785	14373.004	17524.894	19316.926	17450.771	16613.961	19732.161	18232.133	15963.533	10523.232	15514.943	12969.638	15006.85	15410.375	10979.921	12669.058	16308.276
ENSG00000111331	363	391	228.999	279.999	251	622.001	169.999	573	529.001	54	977.001	278.004	138	111	68	85	78	101	114	129	99
ENSG00000111335	14	12	5	9	12	11	3	22	16	3	56	5	11	4	6	8	2	5	11	1	3
ENSG00000111339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000111341	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0
ENSG00000111344	811.558	929	498.001	628	714	825.729	496	916.006	824.793	478	765.061	748.12	503.001	373.001	308.025	459	393	554	449	463	614
ENSG00000111348	178	247.001	113.001	120.044	46	37	32	119	143	20	34	60	39	50	63.999	173	96	182	13	25	17.999
ENSG00000111358	3612.108	4876.584	3547.381	2422.086	3812.647	3553.261	4041.771	5614.905	4600.255	2896.394	3981.499	4408.92	3638.813	4387.24	4791.383	5501.796	5025.579	5873.988	3760.521	3976.852	4069.647
ENSG00000111361	4646.559	5475.49	4962.732	3835.011	5589.629	5085.7	6199.437	7304.809	5428.564	5781.407	5323.128	5421.935	4919.891	5270.176	6362.44	5282.528	5761.712	6029.478	4162.313	4656.374	5555.52
ENSG00000111364	2805.569	3218.704	3623.013	2076	3730.993	2958.207	3748.934	4929.461	3178.626	3042.299	3543.849	3704.129	3188	3459.7	4021.755	3608.49	3652.461	3742.743	2976.772	3026.645	3606.375
ENSG00000111371	26511.877	31960.133	37270.759	20680.889	29585.108	32480.726	36247.605	45344.582	38367.493	24998.348	30731.555	39743.042	26331.498	27073.866	32592.557	36352.02	36260.775	34313.865	26234.768	26455.144	27589.878
ENSG00000111404	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	1	2	0	1	0	5
ENSG00000111405	3	8	2	4	0	15	1	0	0	0	3	3	0	1	0	4	1	4	0	0	2
ENSG00000111412	6369.347	7180.123	6263	5039.787	6185.901	5844.451	7015.332	9531.951	6962.141	5941.285	7191.269	6415.645	5347.859	6608.206	5320.293	5283.514	5767.229	6005.436	5489.36	4562.609	5429.573
ENSG00000111424	210	336	189	173	70	51	51	153	207.035	28	37	116	87	29	33	449.002	110	252	59	80	137
ENSG00000111432	128.003	148.532	45	116.008	117	283	67	187	112	193	71	54	307	113	197	115	87	95	0	0	1
