JL	Control_1	Control_2	Control_3
ENSG00000076242	2505.653	4702.623	3447.344	3231.13
ENSG00000076248	2256.418	3160.396	1712.112	1804.828
ENSG00000076258	621	100	168	81.147
ENSG00000076321	2391.006	3927.678	2868.092	3014.999
ENSG00000076344	460.169	311	1480.069	288.001
ENSG00000076351	503	578.636	679.159	541
ENSG00000076356	468.022	2136.894	2088.189	1783.024
ENSG00000076382	411.843	6774.992	774.851	3285.205
ENSG00000076513	5604.823	30475.278	20727.285	13083.164
ENSG00000076554	5.782	0	1.179	0
ENSG00000076555	835.051	582	273.999	259
ENSG00000076604	1642.864	1953.992	2873.848	2437.5
ENSG00000076641	1229.002	822.002	399	211
ENSG00000076650	498	1052.289	612.195	616.039
ENSG00000076662	366	731	704.725	592.15
ENSG00000076685	6915.244	9993.136	8317.544	6334.566
ENSG00000076706	707.005	1536.996	3841.475	4792.477
ENSG00000076716	1145.024	741.004	2195.078	3747.327
ENSG00000076770	1087	763.188	55	158
ENSG00000076826	0	0	0	0
ENSG00000076864	128.009	27	5	5
ENSG00000076924	2709	2724.484	1878.987	2013
ENSG00000076928	4750.912	6341.627	4366.434	4808.197
ENSG00000076944	56	129	4	45.864
ENSG00000076984	2493.026	3943.251	3032.699	2572.531
ENSG00000077009	0	0	0	0
ENSG00000077044	695.999	1079.378	999.254	782.001
ENSG00000077063	30	64	0	0
ENSG00000077080	0	0	0	0
ENSG00000077092	138	15	5	74
ENSG00000077097	9748.83	15140.767	9600.652	11503.689
ENSG00000077147	25004.162	28538.394	29018.638	20379.631
ENSG00000077150	1867.766	2178.087	1473.119	1777.001
ENSG00000077152	319.036	2247.063	343.008	1265.072
ENSG00000077157	658.002	1421.214	1224	2399.031
ENSG00000077232	15709.047	20801.153	13140.006	14031.904
ENSG00000077235	6869.9	8554.739	5928.646	5715.635
ENSG00000077238	2283.069	4746.3	4205.759	2167.734
ENSG00000077254	6530.203	8179.427	5687.849	5010.1
ENSG00000077264	34	9	2	4
ENSG00000077274	57	1	0	0
ENSG00000077279	1	0	0	0
ENSG00000077312	1660.536	4835.908	2088.52	2709.346
ENSG00000077327	0	0	0	0
ENSG00000077348	352.121	541.221	353	367.198
ENSG00000077380	10366.762	15535.278	12539.698	13254.871
ENSG00000077420	2591	6308.506	2773.898	191.006
ENSG00000077454	1443.01	3340.349	2045.319	1816.036
ENSG00000077458	942.001	1869.016	1424.118	1372.004
ENSG00000077463	979	1369.001	1056.153	848.319
ENSG00000077498	0	0	0	0
ENSG00000077514	1261.38	3318.336	866	1542.997
ENSG00000077522	6	1	1	0
ENSG00000077549	15091.771	31993.98	24238.884	32798.905
ENSG00000077585	1857.142	1969.987	1511.017	799.095
ENSG00000077616	193.001	64	0	14
ENSG00000077684	2962.879	5691.581	2484.107	3912.352
ENSG00000077713	2577.336	5024.567	3320.504	2857.511
ENSG00000077721	6105.856	11639.735	8179.437	7459.834
ENSG00000077782	17931.981	24763.478	14200.499	8556.676
ENSG00000077800	1	0	0	0
ENSG00000077935	0	7	0	1
ENSG00000077942	97624.468	16466.341	7451.23	50610.835
ENSG00000077943	608.017	2671.001	558	5776.057
ENSG00000077984	0	0	0	0
ENSG00000078018	607.999	577.033	196.004	152
ENSG00000078043	1913.996	2140.1	1669.08	1520.003
ENSG00000078053	701.001	1018.007	1476.802	2153.659
ENSG00000078061	2501.143	4572.816	3451.407	2904.19
ENSG00000078070	1519.001	1762.12	800.282	1617.703
ENSG00000078081	50	1	0	1
ENSG00000078098	48213.401	12364.933	7094.659	14967.459
ENSG00000078114	6	2	17.001	6
ENSG00000078124	2440.018	2175.034	1903.012	1939.027
ENSG00000078140	5293.467	9019.651	6496.987	6982.498
ENSG00000078142	3280.281	5276.824	4338.421	3228.052
ENSG00000078177	1379.704	1498.001	737.485	919.238
ENSG00000078237	2087.879	2039.409	2538.046	2427.803
ENSG00000078246	4138.986	7829.219	4215.055	5237.757
ENSG00000078269	4222.361	17409.498	15545.575	5987.222
ENSG00000078295	160.063	10	21.001	1
ENSG00000078304	8779.782	12829.352	9395.812	8827.019
ENSG00000078319	338.999	503.978	562.524	455.059
ENSG00000078328	0	0	0	0
ENSG00000078369	26147.172	55310.925	42971.656	43375.221
ENSG00000078399	1372.376	2974.589	2455.678	154
ENSG00000078401	859.072	2854.902	1839.267	1793.019
ENSG00000078403	2577.637	4402.535	2686.88	2694.144
ENSG00000078487	340	215.999	279.002	164
ENSG00000078549	2	0	0	0
ENSG00000078579	0	0	0	0
ENSG00000078589	0	0	1	1
ENSG00000078596	8	1	1	0
ENSG00000078618	10300.664	24083.89	15042.284	11515.528
ENSG00000078668	5181.839	8480.05	5598.726	6901.52
ENSG00000078674	7598.826	10861.88	6104.808	7147.65
ENSG00000078687	870.056	1555.073	1014	1077.578
ENSG00000078699	1847.766	2199.841	1711.557	1472
ENSG00000078725	3243.389	768	308	160
ENSG00000078747	4755.969	8743.21	6439.408	6878.239
ENSG00000078795	4	0	12	12
ENSG00000078804	2740.545	3382.297	2693.313	2081.27
ENSG00000078808	19310.678	25600.309	28358.769	18072.193
ENSG00000078814	38	10	9	4
ENSG00000078898	0	0	0	0
ENSG00000078900	1	0	4	4
ENSG00000078902	4667.22	4131.135	4039.348	3743.842
ENSG00000078967	1290.9	1650.15	1541.005	858.002
ENSG00000079101	5	3	9	0
ENSG00000079102	2686.995	2120.013	2771.427	1639.001
ENSG00000079112	3	0	0	0
ENSG00000079134	1589	2500.347	1517.76	1699.093
ENSG00000079150	2553.532	3320.459	4278.542	2350.785
ENSG00000079156	715.089	1920.61	1665.947	1240.197
ENSG00000079215	6142.596	270.999	124	124.999
ENSG00000079246	16811.691	31088.923	17463.092	20944.68
ENSG00000079257	196	981	153	67
ENSG00000079263	3	3.035	13.117	19.863
ENSG00000079277	1482.998	1668.658	1820.819	1503.774
ENSG00000079308	8471.881	23844.408	18317.85	30813.457
ENSG00000079313	1341.005	3156.417	1684.28	1844.433
ENSG00000079332	15888.969	17270.61	17510.484	15195.219
ENSG00000079335	168	426	246	293.001
ENSG00000079337	85	339.044	327.998	596.001
ENSG00000079385	8	1	0	1
ENSG00000079387	1422.301	3262.847	861.999	1699.048
ENSG00000079393	0	0	0	0
ENSG00000079432	7332.259	7468.239	4376.323	4857.124
ENSG00000079435	85	323	80	77
ENSG00000079459	5987.315	4361.213	2873.58	2482.893
ENSG00000079462	575.001	791.532	302	786.046
ENSG00000079482	704	788.009	673	1007
ENSG00000079557	0	0	0	0
ENSG00000079616	667	6500.076	1367.6	2823.535
ENSG00000079689	0	0	0	0
ENSG00000079691	693.021	1512.345	1091.002	1184.081
ENSG00000079739	4899.838	5223.045	5117.682	6494.736
ENSG00000079785	8239.146	12462.134	12001.981	12285.716
ENSG00000079805	5851.665	11998.617	7722.086	7599.866
ENSG00000079819	9625.669	22653.929	13957.65	8726.211
ENSG00000079841	29.001	287	1226.556	2857.735
ENSG00000079931	9929.186	25796.576	30148.107	12928.805
ENSG00000079950	6601.295	7905.129	7118.386	7245.149
ENSG00000079974	2334.572	2484.008	1960.362	1768.771
ENSG00000079999	4380.463	6459.739	4592.504	3975.809
ENSG00000080007	109	17	366	1
ENSG00000080031	18	49.001	30	20
ENSG00000080166	5	0	11	3
ENSG00000080189	2555.222	2982.182	2722	2232.97
ENSG00000080200	2880.03	3782.575	3054.003	3089.426
ENSG00000080224	1	1	1	0
ENSG00000080293	0	0	0	0
ENSG00000080298	230	382.276	272	392.002
ENSG00000080345	4212.258	7131.654	4198.963	4788.087
ENSG00000080371	5268.878	6922.468	6208.24	5385.119
ENSG00000080493	148	2277.235	1913.323	1703.042
ENSG00000080503	16209.313	11927.804	11153.645	6624.945
ENSG00000080511	4	7	2	0
ENSG00000080546	1802.019	1586.477	1909.043	1571.002
ENSG00000080561	484.001	681	658	464
ENSG00000080572	0	0	0	0
ENSG00000080573	12139.286	6851.268	3240.366	2859.015
ENSG00000080603	3244.364	7076.383	3921.32	4090.64
ENSG00000080608	2119.535	4101.911	2537.078	2768.166
ENSG00000080618	0	3	0	0
ENSG00000080644	0	3	0	3
ENSG00000080709	0	110	5	7
ENSG00000080802	1571.835	2459.108	1577	1539.999
ENSG00000080815	5548.774	5814.288	4725.845	4465.783
ENSG00000080819	2016.912	3205.599	1801.553	1963.037
ENSG00000080822	4448.73	6239.327	4039	4622.466
ENSG00000080823	478.025	13277.534	1586.999	2580.996
ENSG00000080824	52043.556	118222.194	73620.858	61131.449
ENSG00000080839	619	4138.02	430	1441
ENSG00000080845	5778.427	12215.018	8801.517	7127.451
ENSG00000080854	3	70	26	9
ENSG00000080910	0	2	0	0
ENSG00000080947	195	300	305.109	325.968
ENSG00000080986	321	4777.826	351.004	1908.874
ENSG00000081014	1896.001	3275.761	3544.032	3119.014
ENSG00000081019	1175.192	1649	1360.029	1254.045
ENSG00000081026	945.791	2055.045	814.145	1098
ENSG00000081041	441.999	70	29	7
ENSG00000081051	3	14	22	47
ENSG00000081052	125	27	3	11
ENSG00000081059	407.009	2547.031	234.999	1102.986
ENSG00000081087	4240.56	4581.283	4810.191	5318.208
ENSG00000081138	0	0	0	0
ENSG00000081148	29	52	63	39
ENSG00000081154	11267.126	15851.128	12685.954	12023.504
ENSG00000081177	1837.595	2355.065	2370.006	1729.999
ENSG00000081181	233.013	437	548.22	245
ENSG00000081189	754	1966.04	1085.967	2860.679
ENSG00000081237	7	46.999	51	73
ENSG00000081248	0	0	0	0
ENSG00000081277	1	32	11	41
ENSG00000081307	2667.817	4625.325	3884.28	3289.714
ENSG00000081320	6210.3	6185.277	3002.34	2735.084
ENSG00000081377	6284.34	5586.375	4393.002	3657.239
ENSG00000081386	791	855.337	775	631.938
ENSG00000081479	0	0	0	0
ENSG00000081665	942.364	912.272	1117	799.143
ENSG00000081692	742.164	1214.247	1038.036	1144.006
ENSG00000081721	1003.177	1364	1325.08	1001.742
ENSG00000081760	3195.421	1954.355	1893.858	2037.406
ENSG00000081791	3357	4481.287	4313.228	3155.526
ENSG00000081800	0	0	0	0
ENSG00000081803	406.001	97	16	9
ENSG00000081818	41.303	37.474	38.053	60.948
ENSG00000081842	33.339	10.07	0	0
ENSG00000081853	391.285	672.215	296.681	772.969
ENSG00000081870	971.528	2659.105	1426.075	1775.786
ENSG00000081913	602	1940.71	1434.002	1145.843
ENSG00000081923	6672.731	23208.133	17376.282	16586.629
ENSG00000081985	0	0	0	0
ENSG00000082014	1892.584	2172	1984.43	1985.007
ENSG00000082068	2299.926	2861.462	2007.323	1980.329
ENSG00000082074	9	2	0	0
ENSG00000082126	48	631.999	791.022	282.003
ENSG00000082146	3465.088	2969.452	2560.681	1886.765
ENSG00000082153	20292.26	34037.817	26933.855	27795.913
ENSG00000082175	75	5	0	1
ENSG00000082196	512.818	421.128	357.02	540.685
ENSG00000082212	2501.593	3481.356	1915.001	2675.551
ENSG00000082213	1483.054	2636	1746	1872.065
ENSG00000082258	1948.23	3771.692	2869.042	2908.836
ENSG00000082269	999.452	841.083	724	603.002
ENSG00000082293	2	0	1	0
ENSG00000082397	6023.369	11430.546	6050.677	885.999
ENSG00000082438	1547.001	1246.238	980.017	786.003
ENSG00000082458	999.001	837.131	633.162	862.866
ENSG00000082482	24579.274	14892.427	13654.426	13914.941
ENSG00000082512	2416.12	2843.791	4219.59	4665.237
ENSG00000082515	1486.885	1876.002	1437.151	1636.006
ENSG00000082516	1617.064	2285.143	1258.436	1616
ENSG00000082556	0	0	0	0
ENSG00000082641	24501.456	38776.218	43629.308	26552.647
ENSG00000082684	5	0	0	0
ENSG00000082701	9777.38	10981.481	10335.945	8785.233
ENSG00000082781	41806.621	28913.267	56341.323	37305.184
ENSG00000082805	4275.467	9225.17	5742.653	5505.274
ENSG00000082898	12705.905	28571.418	12140.087	17183.583
ENSG00000082996	4268.402	4481.005	4507.742	2615.84
ENSG00000083067	13	3	5	0
ENSG00000083093	1053.436	1324.349	703.069	816.006
ENSG00000083097	1425.917	2377.035	1635	1652.662
ENSG00000083099	3592.007	3810.916	2441.082	2599.481
ENSG00000083123	1799.514	3129.093	3777.047	2880.904
ENSG00000083168	4003.858	6499.03	3666.548	4225.025
ENSG00000083223	2438.595	4176.74	2626.623	2568.438
ENSG00000083290	2532.488	3539.489	2741.065	2589.019
ENSG00000083307	3	7	2	0
ENSG00000083312	13292.248	21405.075	18117.593	16850.536
ENSG00000083444	20420.513	25521.044	41182.37	29196.474
ENSG00000083454	8.201	496.023	261.256	147.452
ENSG00000083457	1095.739	1046.391	1277.504	1269.349
ENSG00000083520	3691.746	5829.831	4665.512	4397.936
ENSG00000083535	1451.14	1424.995	700	1253.484
ENSG00000083544	1119	1522.092	945.001	931.102
ENSG00000083635	766	1025.03	441	597
ENSG00000083642	2291	4072.85	1804.316	2225.067
ENSG00000083720	2887.682	7732.021	4631.844	4016.016
ENSG00000083750	1650	1035.001	1039.512	787
ENSG00000083782	1	3	4	2
ENSG00000083799	2839.601	6794.389	5661.53	4059.526
ENSG00000083807	124.999	71	75.054	46
ENSG00000083812	492.404	679.347	529.668	518.794
ENSG00000083814	469	455	412	358.025
ENSG00000083817	371	453.001	384	363.047
ENSG00000083828	441.2	496.362	430.052	424
ENSG00000083838	485.744	470.676	464.145	365.607
ENSG00000083844	1751.143	1528.013	1574	1294.001
ENSG00000083845	31271.54	23335.61	26957.649	17320.766
ENSG00000083857	14010.279	52378.306	79737.628	55508.426
ENSG00000083937	5022.742	5422.617	3461.857	3918.832
ENSG00000084070	1554.269	3144.457	1607.001	2136.081
ENSG00000084072	1824.751	2281.969	2271.544	2351.503
ENSG00000084073	8477.88	10004.932	9567.888	7338.623
ENSG00000084090	8830.638	11240.275	10573.206	7386.036
ENSG00000084092	1719.873	1780.246	1335.309	1141.767
ENSG00000084093	2894.884	4721.281	3564	4032.159
ENSG00000084110	1	3	2	2
ENSG00000084112	6386.978	16931.919	10769.016	10753.323
ENSG00000084207	12895.717	16041.236	17099.059	17496.875
ENSG00000084234	87975.422	171480.554	223192.193	158306.554
ENSG00000084444	589	559.999	722.029	713
ENSG00000084453	0	1	0	0
ENSG00000084463	3331.719	6724.552	3086.593	3725.772
ENSG00000084623	11270.345	18853.009	13889.443	14616.143
ENSG00000084628	19	1	3	11
ENSG00000084636	46203.003	21827.308	14774.06	22934.265
ENSG00000084652	8162.3	12252.273	9295.659	8434.784
ENSG00000084674	0	2	0	0
ENSG00000084676	3166.681	3112.977	2314.326	1921.092
ENSG00000084693	977.007	1874.997	1183.355	1375.5
ENSG00000084710	166	381	433.018	160
ENSG00000084731	2056.222	4177.559	2675.932	3036.378
ENSG00000084733	11943.301	18503.218	14405.443	13117.176
ENSG00000084734	3	39	36	20.001
ENSG00000084754	15370.096	17218.365	13842.018	13103.039
ENSG00000084764	957.169	2385.316	1822.376	942
ENSG00000084774	5204.53	6028.527	3588.646	3981.09
ENSG00000085063	52756.985	105513.08	118755.12	78321.227
ENSG00000085117	616	426	331	577.304
ENSG00000085185	1139.066	1601.207	2087.839	1116.072
ENSG00000085224	7601.666	9860.73	7812.835	7692.253
ENSG00000085231	0	252.119	0	220.572
ENSG00000085265	0	0	0	0
ENSG00000085274	1523.114	2122.677	1837.069	1617.552
ENSG00000085276	113	1393.321	471.066	264.999
ENSG00000085365	3220.73	6422.46	5787.73	4214.516
ENSG00000085377	2517.012	4506.255	3223.617	3133.368
ENSG00000085382	1374.983	1915.393	1336	1249.219
ENSG00000085415	2256.723	4398.743	3248	3199.256
ENSG00000085433	1790.275	3318.376	2933.12	2527.576
ENSG00000085449	6562.501	11723.728	8057.672	10360.548
ENSG00000085465	80	51	125	28
ENSG00000085491	5143.15	9730.077	4701.248	6214.182
ENSG00000085511	2494.242	3030.561	2286.118	1895.051
ENSG00000085514	17	20	4	12
ENSG00000085552	2	20	4	2
ENSG00000085563	8	13	3	1
ENSG00000085644	674	1363.062	744	699.013
ENSG00000085662	8572.929	7502.548	9100.366	5203.936
ENSG00000085719	8207.612	10707.958	8514.352	7043.056
ENSG00000085733	25301.971	37212.32	34710.706	32359.892
ENSG00000085741	587.105	45	28	9
ENSG00000085760	2174.982	3130.064	1777.874	1924.628
ENSG00000085788	3118.087	4703.304	4555.46	4665.291
ENSG00000085831	19	15	7	2
ENSG00000085832	5386.739	7606.429	5584.166	4436.438
ENSG00000085840	44	845.005	113	419.104
ENSG00000085871	348.004	576	644.001	573
ENSG00000085872	2298.764	3366.301	1791.001	1854
ENSG00000085978	1623.993	2980.795	2099.367	1768.75
ENSG00000085982	3201.139	3948.158	4117.06	3508.233
ENSG00000085998	3454.987	7041.019	7004.367	5775.265
ENSG00000085999	116	1739.535	177	538.172
ENSG00000086015	5452.391	8443.194	7264.782	5670.457
ENSG00000086061	12481.12	14688.788	11795.045	10845.072
ENSG00000086062	18855.508	20159.605	48932.58	17207.83
ENSG00000086065	5058.579	7294.082	6657.481	5747.258
ENSG00000086102	3922.433	5413.804	4648.371	3708.218
ENSG00000086159	1	0	0	0
ENSG00000086189	2399.1	4880.124	3318.856	2596.232
ENSG00000086200	1759.024	3047.143	1930.926	2114.882
ENSG00000086205	0	0	0	0
ENSG00000086232	7675.657	13452.848	8932.075	8190.331
ENSG00000086288	0	0	0	0
ENSG00000086289	555.12	237	978.601	457
ENSG00000086300	32	1	3	1
ENSG00000086475	3269.839	5715.459	3127.045	3968.466
ENSG00000086504	1997.006	4510.932	2595.118	3118.173
ENSG00000086506	0	0	3	0
ENSG00000086544	1029.361	1434	1639.233	861
ENSG00000086548	0	0	0	0
ENSG00000086570	12	4	5	9
ENSG00000086589	2626.039	5119.607	3145.588	2962.175
ENSG00000086598	20583.971	35474.703	30666.064	24852.278
ENSG00000086619	541	788.001	324	226
ENSG00000086666	4457.334	6061.176	4561.734	4572.633
ENSG00000086696	1	15	0	0
ENSG00000086712	1648.154	1492.001	824.054	835
ENSG00000086717	1	0	0	0
ENSG00000086730	9	26	33.999	42.999
ENSG00000086758	15572.819	26666.764	17334.46	16978.228
ENSG00000086827	1479	3012.556	1664.839	1979.197
ENSG00000086848	1353.453	3104.136	2312.002	2225.79
ENSG00000086967	0	0	0	0
ENSG00000086991	669.251	75.001	99	31
ENSG00000087008	1003.085	1270.004	1240.952	1871.421
ENSG00000087053	2835.642	6446.228	3962.103	4974.336
ENSG00000087074	16655.586	15083.059	11406.343	9845.907
ENSG00000087076	1622.762	153	302.994	196
ENSG00000087077	7369.256	11082.144	12248.572	10598.77
ENSG00000087085	33.002	13	4	4
ENSG00000087086	385791.748	180912.442	238115.878	139817.454
ENSG00000087087	5641.515	10086.752	5556.366	5491.607
ENSG00000087088	6547.636	6458.336	7448.139	7762.645
ENSG00000087095	879.479	1247	1005.282	1101.002
ENSG00000087111	3378.347	6278.187	6208.588	4562.667
ENSG00000087116	18057.946	20752.708	21806.692	24419.609
ENSG00000087128	1	2	3	0
ENSG00000087152	5159.296	6895.032	6412.389	5953.169
ENSG00000087157	1383.003	1897.2	1282.176	1164.999
ENSG00000087191	6020.946	11353.568	9089.809	8330.74
ENSG00000087206	1740.001	2090.278	1686.67	1883.458
ENSG00000087237	1	10	2	0
ENSG00000087245	485458.481	240167.108	203364.743	112896.655
ENSG00000087250	0	0	0	0
ENSG00000087253	1184.04	4931.359	2303.007	3268.458
ENSG00000087258	10	17	11	94
ENSG00000087263	3604.349	6252.633	5434.514	5466.291
ENSG00000087266	1661.015	4006.647	3459.001	2546.075
ENSG00000087269	3140.477	3586.245	2486.45	2523.386
ENSG00000087274	20026.514	31714.48	20080.401	20759.226
ENSG00000087299	248.01	570.001	224.001	279
ENSG00000087301	1357.91	670	374	476
ENSG00000087302	6722.652	7392.023	6424.074	6324.249
ENSG00000087303	16564.146	7145.451	2400.073	3218.165
ENSG00000087338	1391.201	2683.154	2190.036	1900.005
ENSG00000087365	13300.509	21141.48	12345.15	12649.309
ENSG00000087448	3428.797	5202.868	3713.689	3310.977
ENSG00000087460	59555.965	79507.388	85405.303	59264.688
ENSG00000087470	4887.374	10221.497	6356.781	7200.252
ENSG00000087494	297	88	96	90.999
ENSG00000087495	345.973	48	3138.783	2906.448
ENSG00000087502	3623.304	7059.082	3382.24	3729.718
ENSG00000087510	805.156	3363.54	1917.428	1638.931
ENSG00000087586	335.001	9463.867	1241	3109.276
ENSG00000087589	134	259	1245.345	22
ENSG00000087842	1505.058	476.142	236	382.002
ENSG00000087884	575.001	643.999	657.277	943.804
ENSG00000087903	767	1528.019	1005	1503.907
ENSG00000087995	955.658	1250.987	796.78	901.51
ENSG00000088002	14	6	2	0
ENSG00000088035	841.016	1079.981	453	397.999
ENSG00000088038	3487.421	3971.033	2274.141	2274.856
ENSG00000088179	957.02	1474.746	1472.023	1202.131
ENSG00000088205	4427.5	6169.308	4672.391	5173.348
ENSG00000088247	11163.702	14232.731	6319.088	8566.83
ENSG00000088256	6867.503	15402.986	9580.028	11742.294
ENSG00000088280	5474.174	2402.125	2317.023	1480.383
ENSG00000088298	1401.632	2173.837	2373.638	1627.987
ENSG00000088305	243	551	189	321
ENSG00000088320	2	2	4	5
ENSG00000088325	1241.023	24013.283	1943	8491.736
ENSG00000088340	140.001	73	106.999	112.998
ENSG00000088356	735.005	791	1197	1045.049
ENSG00000088367	3654.226	3301.349	3988.638	2492.646
ENSG00000088386	0	0	0	1
ENSG00000088387	1671.183	2428.479	2886.123	1706.041
ENSG00000088448	2483.713	1988.935	2122.919	1282.262
ENSG00000088451	728	998.049	972.359	811.104
ENSG00000088538	38	144	315	101.012
ENSG00000088543	1172.239	1679.758	1669.034	1663.999
ENSG00000088682	1666.749	2408.179	1491.985	1436.004
ENSG00000088726	0	0	0	0
ENSG00000088727	93.001	144.001	208.001	123.014
ENSG00000088756	1698.001	16	82	227
ENSG00000088766	2298.976	2510.345	2855.077	2534.249
ENSG00000088782	0	0	0	0
ENSG00000088808	405	516.002	584	362
ENSG00000088812	8139.964	9528.569	10833.576	8099.633
ENSG00000088826	1016.421	1143	1060.032	615.999
ENSG00000088827	1	2	0	0
ENSG00000088832	19824.904	55400.178	30637.142	34617.986
ENSG00000088833	3673.047	6987.631	5149.762	4761.297
ENSG00000088836	168.999	338.376	358	64
ENSG00000088854	2839.001	3973.283	3689.088	3014.982
ENSG00000088876	932.642	1183.572	1024.157	1066.264
ENSG00000088881	130	43	65	19
ENSG00000088882	451	72	12	44
ENSG00000088888	9087.093	11524.865	9491.009	8138.16
ENSG00000088899	398.068	743	1135.06	434.012
ENSG00000088926	0	0	0	0
ENSG00000088930	8114.75	10489.257	6669.911	7025.963
ENSG00000088970	2639.035	1324.533	1554.844	576.013
ENSG00000088986	11307.069	15457.154	15419.62	16318.898
ENSG00000088992	0	0	0	0
ENSG00000089006	5394.932	9503.478	5003.96	5485.688
ENSG00000089009	82446.87	61488.179	59514.505	57976.022
ENSG00000089012	0	0	0	0
ENSG00000089022	1729	2678.168	2343.001	2074.124
ENSG00000089041	940	324	64	131
ENSG00000089048	1888.296	1915.703	1250.016	1591.04
ENSG00000089050	1473.123	3048.623	1852.15	1385.051
ENSG00000089053	6070.209	11846.955	12643.286	9928.603
ENSG00000089057	2729.023	3340.04	3217.195	2135.255
ENSG00000089060	1775.875	992.374	966.645	1070.999
ENSG00000089063	11001.063	14285.784	14317.947	8612.598
ENSG00000089091	124	322.999	185	148.001
ENSG00000089094	2064.999	2297.204	1506.043	1713.46
ENSG00000089101	19	0	5	0
ENSG00000089116	0	0	0	0
ENSG00000089123	295	538	416.001	384.001
ENSG00000089127	36.999	3	8	12
ENSG00000089154	6810.18	12606.603	9984.934	10542.534
ENSG00000089157	134314.404	126586.213	131468.578	106931.925
ENSG00000089159	8665.105	28744.919	16443.158	17548.742
ENSG00000089163	63	41	58	61.999
ENSG00000089169	0	0	0	0
ENSG00000089177	1162.735	1493.423	1095.066	1126.29
ENSG00000089195	956.059	1935.018	1113.179	1378
ENSG00000089199	2	10	3	5
ENSG00000089220	19246.529	16745.079	27118.189	16054.101
ENSG00000089225	1720.351	3084.978	2669.769	378
ENSG00000089234	1392	2436.023	1857.161	1640.623
ENSG00000089248	15557.128	7466.24	9567.153	7660.124
ENSG00000089250	0	0	0	0
ENSG00000089280	14244.748	30387.511	20094.176	26342.999
ENSG00000089289	4918.463	3215.54	3260.643	2512.254
ENSG00000089327	3633.987	12899.039	12392.251	7706.421
ENSG00000089335	2514.249	2998.918	2284.025	1457.204
ENSG00000089351	2596.44	3501.79	2599.036	2092.001
ENSG00000089356	1	3	0	0
ENSG00000089472	6542.044	2212.678	5715.007	3822.9
ENSG00000089486	1187.306	1550.584	363.328	663.031
ENSG00000089505	51.012	147.954	56	54.57
ENSG00000089558	1	2	0	1
ENSG00000089597	40117.981	63072.976	60111.616	51559.403
ENSG00000089639	543	765.013	1028.132	742.001
ENSG00000089682	657.123	1048	671	811
ENSG00000089685	447.015	8860.523	987	4073.555
ENSG00000089692	6	65	39.001	66.001
ENSG00000089693	8000.951	16264.737	13863.806	13523.908
ENSG00000089723	84.533	203.226	106	196.677
ENSG00000089737	1086.839	2942.747	2366.962	1856.027
ENSG00000089775	770	1073.016	787	773.087
ENSG00000089818	1722.011	3080.083	2784.763	2540.109
ENSG00000089820	56	48	29	20
ENSG00000089847	73	59	88	20
ENSG00000089876	2642.017	2866.791	2067.674	1708.12
ENSG00000089902	2126.408	4557.89	3529.416	3196.254
ENSG00000089916	3264.289	4577.505	3492.241	3859.494
ENSG00000090006	2347.066	5705.41	3310.562	1685.195
ENSG00000090013	2435.337	1893.365	2008.281	1495.292
ENSG00000090020	3071.317	4668.464	3208.857	1977.187
ENSG00000090054	9028.492	12684.791	9494.891	7866.407
ENSG00000090060	13332.267	17935.934	13324.104	13238.247
ENSG00000090061	3562.78	6091.004	4461.736	4139.092
ENSG00000090097	1853.492	6433.447	5176.756	4553.797
ENSG00000090104	0	0	6	4
ENSG00000090238	2564.856	4580.474	4477.865	2474.256
ENSG00000090263	1685.914	1411.52	1649.401	1523.819
ENSG00000090266	2624.181	3103.049	3827.95	3752.744
ENSG00000090273	4954.557	8462.449	5020.691	5505.698
ENSG00000090316	3880.929	6693.456	5099.384	4708.818
ENSG00000090339	3174.424	239.01	57	1226
ENSG00000090372	4474.848	8005.537	4566.363	4550.414
ENSG00000090376	1825	1983.137	906	423
ENSG00000090382	0	1	1	0
ENSG00000090402	0	0	0	0
ENSG00000090432	2045.02	3169.193	2900.078	2853.619
ENSG00000090447	491.042	449	174	169.001
ENSG00000090470	2501	2776.455	1452	1414.012
ENSG00000090487	10487.246	6809.98	3991.647	3884.694
ENSG00000090512	0	0	0	1
ENSG00000090520	5573.652	8781.916	8380.903	8507.938
ENSG00000090530	130	1169	251.003	395.909
ENSG00000090534	3	3	26	8
ENSG00000090539	191.001	107.001	614.999	40.999
ENSG00000090554	689.942	659.192	234.771	300.122
ENSG00000090565	3577.346	2968.74	3356.821	2706.452
ENSG00000090581	6645.824	3730.694	4919.253	3024.861
ENSG00000090612	1278.344	1651.173	954.191	1176.001
ENSG00000090615	8088.754	11791.19	13751.417	11869.21
ENSG00000090621	14516.058	21284.088	17257.167	11359.643
ENSG00000090659	0	0	0	2
ENSG00000090661	591.001	52.001	0	8
ENSG00000090674	3555.269	2256.526	1800.11	1472.79
ENSG00000090686	5173.686	7985.344	5278.376	5868.505
ENSG00000090776	1990.003	1062	2508.73	813.135
ENSG00000090857	3596.024	5809.937	4941.458	3531.568
ENSG00000090861	10662.423	21914.455	16822.999	15220.8
ENSG00000090863	25897.791	28057.412	30436.795	24378.064
ENSG00000090889	242	4882.482	409	2100.306
ENSG00000090905	5230.913	10228.296	7249.089	7179.417
ENSG00000090924	2623.365	5446.804	4420.904	4950.003
ENSG00000090932	2	23	8	7
ENSG00000090971	1324.194	885.999	1313.005	1087.987
ENSG00000090975	880	1104.89	1007.999	720.28
